Series,Month,Period,Best_Model,Forecast,Lower_95,Upper_95
X8,Mayis 2026,2026-05,MA_6,632,253,1704
X8,Haziran 2026,2026-06,MA_6,632,253,1704
X8,Temmuz 2026,2026-07,MA_6,632,253,1704
X2,Mayis 2026,2026-05,Random_Forest,599,365,834
X2,Haziran 2026,2026-06,Random_Forest,537,302,771
X2,Temmuz 2026,2026-07,Random_Forest,550,316,785
X10,Mayis 2026,2026-05,Random_Forest,246,98,561
X10,Haziran 2026,2026-06,Random_Forest,343,137,659
X10,Temmuz 2026,2026-07,Random_Forest,917,602,1233
X16,Mayis 2026,2026-05,Random_Forest,302,121,551
X16,Haziran 2026,2026-06,Random_Forest,439,190,688
X16,Temmuz 2026,2026-07,Random_Forest,471,222,720
N1_M,Mayis 2026,2026-05,XGBoost,362,356,368
N1_M,Haziran 2026,2026-06,XGBoost,233,228,239
N1_M,Temmuz 2026,2026-07,XGBoost,389,383,395
N1_L,Mayis 2026,2026-05,Random_Forest,183,73,408
N1_L,Haziran 2026,2026-06,Random_Forest,544,319,768
N1_L,Temmuz 2026,2026-07,Random_Forest,585,360,810
N1_XL,Mayis 2026,2026-05,MA_6,347,139,762
N1_XL,Haziran 2026,2026-06,MA_6,347,139,762
N1_XL,Temmuz 2026,2026-07,MA_6,347,139,762
N1,Mayis 2026,2026-05,MA_3,1362,545,2380
N1,Haziran 2026,2026-06,MA_3,1362,545,2380
N1,Temmuz 2026,2026-07,MA_3,1362,545,2380
