Series,Model,MAE,RMSE,MAPE
X8,Naive,386.5,529.35,61.2
X8,MA_3,586.94,637.47,92.94
X8,MA_6,473.06,547.9,74.91
X8,Holt_Winters,806.28,883.62,127.68
X8,SARIMA,497.88,599.03,78.84
X8,Random_Forest,550.33,691.92,87.15
X8,XGBoost,712.59,916.31,112.84
X2,Naive,421.0,469.91,84.59
X2,MA_3,403.22,439.29,81.02
X2,MA_6,385.0,412.72,77.36
X2,Holt_Winters,396.6,476.93,79.69
X2,SARIMA,416.47,459.05,83.68
X2,Random_Forest,279.81,309.68,56.23
X2,XGBoost,294.5,353.02,59.18
X10,Naive,324.17,371.15,72.71
X10,MA_3,292.5,318.36,65.61
X10,MA_6,292.5,332.47,65.61
X10,Holt_Winters,372.38,480.84,83.52
X10,SARIMA,276.74,339.27,62.07
X10,Random_Forest,309.74,385.73,69.47
X10,XGBoost,393.98,542.39,88.37
X16,Naive,316.83,379.37,78.91
X16,MA_3,380.39,432.16,94.74
X16,MA_6,289.72,358.69,72.16
X16,Holt_Winters,358.56,458.22,89.31
X16,SARIMA,323.73,400.8,80.63
X16,Random_Forest,280.09,379.24,69.76
X16,XGBoost,287.39,353.71,71.58
N1_M,Naive,202.17,249.16,78.11
N1_M,MA_3,156.17,179.87,60.33
N1_M,MA_6,156.17,179.26,60.33
N1_M,Holt_Winters,214.03,276.18,82.69
N1_M,SARIMA,203.44,225.47,78.6
N1_M,Random_Forest,161.12,218.39,62.25
N1_M,XGBoost,150.9,215.24,58.3
N1_L,Naive,270.5,347.53,68.11
N1_L,MA_3,267.83,286.34,67.44
N1_L,MA_6,267.83,288.56,67.44
N1_L,Holt_Winters,324.29,427.02,81.65
N1_L,SARIMA,296.93,326.14,74.76
N1_L,Random_Forest,257.83,298.63,64.92
N1_L,XGBoost,269.46,314.58,67.85
N1_XL,Naive,212.67,236.94,61.23
N1_XL,MA_3,177.67,195.77,51.15
N1_XL,MA_6,156.88,195.41,45.17
N1_XL,Holt_Winters,288.25,370.37,82.99
N1_XL,SARIMA,210.74,269.85,60.67
N1_XL,Random_Forest,223.91,250.17,64.47
N1_XL,XGBoost,290.95,322.31,83.77
N1,Naive,678.67,815.46,67.64
N1,MA_3,573.33,632.95,57.14
N1,MA_6,573.33,631.65,57.14
N1,Holt_Winters,822.05,1046.12,81.93
N1,SARIMA,695.02,818.08,69.27
N1,Random_Forest,583.22,703.99,58.13
N1,XGBoost,699.44,849.69,69.71
