YearMonth,X8,X2,X10,X16,N1
2023-01,1221.0,451.0,412.0,841,2036.0
2023-02,580.0,575.0,210.0,610,680.0
2023-03,395.0,840.0,180.0,170,458.0
2023-04,884.0,100.0,305.0,200,285.0
2023-05,1286.0,395.0,1557.5,400,800.0
2023-06,1470.0,780.0,670.0,670,440.0
2023-07,666.0,235.0,69.0,250,5.0
2023-08,375.0,135.0,620.0,380,130.0
2023-09,738.0,91.0,93.0,90,680.0
2023-10,100.0,250.0,200.0,100,489.0
2023-11,330.0,155.0,125.0,180,481.0
2023-12,1930.0,605.0,599.0,1290,120.0
2024-01,960.0,838.0,615.0,483,1001.0
2024-02,850.0,960.0,605.0,625,80.0
2024-03,2533.75,1273.0,740.0,1290,982.0
2024-04,1362.0,482.0,800.0,506,505.0
2024-05,1150.0,355.0,170.0,430,924.0
2024-06,10.0,36.0,56.0,120,180.0
2024-07,990.0,326.0,516.0,330,937.0
2024-08,820.0,385.0,360.0,355,1220.0
2024-09,2330.0,1453.75,770.0,1290,1555.0
2024-10,1100.0,400.0,110.0,740,260.0
2024-11,100.0,20.0,10.0,59,155.0
2024-12,1180.0,150.0,1160.0,300,130.0
2025-01,780.0,250.0,480.0,632,1981.0
2025-02,240.0,310.0,160.0,335,228.0
2025-03,2533.75,750.0,920.0,1290,468.0
2025-04,560.0,705.0,705.0,705,985.0
2025-05,1274.0,155.0,1557.5,355,497.0
2025-06,260.0,385.0,68.0,50,2073.75
2025-07,524.0,578.0,300.0,378,150.0
2025-08,270.0,170.0,110.0,119,855.0
2025-09,2357.0,410.0,960.0,1290,1810.0
2025-10,456.0,210.0,255.0,536,487.0
2025-11,350.0,1000.0,350.0,390,490.0
2025-12,700.0,530.0,90.0,380,1445.0
2026-01,385.0,20.0,20.0,20,0.0
2026-02,1600.0,750.0,860.0,570,1460.0
2026-03,754.0,686.0,755.0,1049,1825.0
2026-04,0.0,0.0,600.0,0,800.0
