YearMonth,N1_M,N1_L,N1_XL
2023-01,438,843.0,755.0
2023-02,440,140.0,100.0
2023-03,46,346.0,66.0
2023-04,100,120.0,65.0
2023-05,220,395.0,185.0
2023-06,40,70.0,330.0
2023-07,0,0.0,5.0
2023-08,45,45.0,40.0
2023-09,160,280.0,240.0
2023-10,166,84.0,239.0
2023-11,155,211.0,115.0
2023-12,0,100.0,20.0
2024-01,250,358.0,393.0
2024-02,10,30.0,40.0
2024-03,335,546.0,101.0
2024-04,0,75.0,430.0
2024-05,342,169.0,413.0
2024-06,0,80.0,100.0
2024-07,196,425.0,316.0
2024-08,161,558.0,501.0
2024-09,390,590.0,575.0
2024-10,50,110.0,100.0
2024-11,15,80.0,60.0
2024-12,90,20.0,20.0
2025-01,597,832.0,552.0
2025-02,40,90.0,98.0
2025-03,13,450.0,5.0
2025-04,420,135.0,430.0
2025-05,69,129.0,299.0
2025-06,733,1228.125,945.25
2025-07,7,68.0,75.0
2025-08,20,625.0,210.0
2025-09,738,547.0,525.0
2025-10,85,192.0,210.0
2025-11,108,188.0,194.0
2025-12,395,560.0,490.0
2026-01,0,0.0,0.0
2026-02,315,715.0,430.0
2026-03,535,720.0,570.0
2026-04,200,200.0,400.0
